name,RA_1,Dec_1,REDSHIFT_1,PLATE_1,FIBER_1,MJD_1,UNIFORM_TARGET,MI_Z2,LOGLBOL,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL_MGII,EW_MGII,LOGL_BROAD_MGII,EW_BROAD_MGII,LOGL_CIV,EW_CIV,VOFF_CIV_PEAK,LOGEDD_RATIO,Z_HW,E_BV
103344.50+321202.2,158.435448,32.200635999999996,1.889299988746643,1959,606,53440,1,-26.756167865495982,46.74919848277149,0,0,0.0,-26.979498244591248,-1.0,43.9692082846914,23.89202907132134,43.95040872696881,22.879866009881262,44.41542450742479,31.642707872181788,1000.490717600353,-0.48124814235129776,1.888852,0.017053160816431046
104351.55+291623.7,160.964801,29.273258000000002,1.9234999418258667,1969,79,53383,1,-26.776439872080005,46.77559676940121,0,0,0.0,-27.00818943491983,-1.0,43.972022830458506,26.554829428532372,43.96921606576339,26.38376386853756,44.46130888078238,30.89809501920112,59.538541575671324,-0.37946536778143525,1.930605,0.02610565721988678
104202.13+292534.2,160.508893,29.426171000000004,1.7343000173568726,1969,116,53383,1,-26.626290543480007,46.60018320869099,0,0,0.0,-27.05220537055777,-1.0,44.081153019293566,43.23255473791176,44.03956685200355,39.284816847525306,44.67718020413624,78.965992335065,754.8455446149114,-0.4448344657157648,1.735447,0.024276435375213623
114926.35+402918.4,177.35983000000002,40.488459999999996,1.6955000162124634,1970,500,53386,1,-27.415486225106267,46.902053108522544,0,0,0.0,-26.698097993669933,-1.0,44.23658785814131,29.945036990451978,44.231378736694225,29.58800834021103,44.668877809905105,29.35065163538723,1203.2627860624,-0.9355803782567804,1.695179,0.019634254276752472
115102.75+404416.6,177.761483,40.737961999999996,1.7138999700546265,1970,505,53386,1,-27.85588924905283,47.101380806028864,0,2,15.373991304855867,-26.527610944564916,51.808089302180406,44.29710402483955,22.14263938304746,44.28244416252269,21.407676080563625,44.85845065247663,33.72238021545251,1000.490717600353,-0.5399635022713838,1.711855,0.019980451092123985
115121.78+405209.3,177.840771,40.869258,1.8228000402450562,1970,532,53386,1,-27.054296406327666,46.64278738808564,0,0,0.0,-27.01368937071077,-1.0,44.2448257935972,55.39518274755015,44.242924751824475,55.15323077118382,44.77431163481377,70.46834342425124,605.2235302698758,-0.9062450553827119,1.822872,0.02011905238032341
123307.11+320650.0,188.279654,32.113904999999995,2.010200023651123,1971,163,53472,1,-26.922445204185575,46.61349238946623,0,0,0.0,-27.051361597111804,-1.0,44.066542601666406,32.38228520609917,44.06075631941699,31.953704251744767,44.6108247218044,53.52748823498382,273.6511756943533,-0.9059817747455625,2.006588,0.01184365339577198
114521.82+392627.0,176.34094199999998,39.440853000000004,1.7417999505996704,1972,8,53466,1,-26.494737267108558,46.48768568802089,0,0,0.0,-27.10622173866939,-1.0,44.06330258970828,50.919289057432735,44.06330258970828,50.919289057432735,44.55117896735226,47.97852152968234,466.22177083765024,-1.043996144924968,1.743593,0.020841285586357117
113957.65+394246.8,174.990227,39.713,1.9265999794006348,1972,132,53466,1,-26.953524611028342,46.682397941937914,0,0,0.0,-27.06240352514453,-1.0,43.91840290417012,25.536287102493535,43.91840290417012,25.536287102493535,44.696153506673,66.35322620748514,284.35279154802873,-0.2045970470523173,1.927352,0.017496399581432343
113231.58+392414.7,173.131604,39.404099,1.7375999689102173,1972,290,53466,1,-26.796807016283665,46.62724095925738,0,0,0.0,-27.00791780439237,-1.0,43.98344838883639,31.90894709129869,43.95577672537372,29.93924267033378,44.354349637857084,29.263057134459373,765.5299677009554,-1.0032844541412445,1.733415,0.03377346321940422
113142.06+395320.2,172.925255,39.888968,1.8265999555587769,1972,334,53466,1,-26.938614094930614,46.76828916468109,0,0,0.0,-26.94179956056498,-1.0,44.1691921657694,36.48647846714034,44.13983433725207,34.10155009855829,44.79106393367102,76.97775548217545,27.4084477430473,-0.8091246448354497,1.828581,0.023911798372864723
113744.10+402032.3,174.43379099999999,40.342328,1.7208000421524048,1972,469,53466,1,-26.589134462801315,46.59666102116366,0,0,0.0,-26.985401434973877,-1.0,43.62948753626626,14.5627704125202,43.59398427549218,13.419636184692418,43.92279594342091,9.222409154227229,3646.9840684672245,-0.28697801075226437,1.730193,0.019934508949518204
113933.49+395637.0,174.889549,39.943638,2.059799909591675,1972,485,53466,1,-27.69512799419783,47.08265829324045,0,0,0.0,-26.745646434327025,-1.0,44.32837007369566,28.671570893434048,44.32837007369566,28.671570893434048,44.86786317859826,38.03025682148745,850.9916106214949,-0.5481283066625835,2.058428,0.01799599826335907
103632.90+365537.4,159.13710600000002,36.927056,1.9027999639511108,1973,68,53432,1,-28.015965492964632,47.184558433134484,0,0,0.0,-26.553852930994566,-1.0,44.44994214985359,28.260878919423664,44.43047438408866,27.02202544591271,44.78340328078282,24.958934248471188,925.7505119164218,-0.6544395884570164,1.911346,0.015395471826195717
