#zbin zmean nqsos gimode ugmode grmode rimode izmode
1.66 1.660 3856 0.270 0.151 0.021 0.255 0.023
1.67 1.670 3876 0.268 0.137 0.023 0.253 0.026
1.68 1.680 3746 0.259 0.135 0.015 0.255 0.022
1.69 1.690 3647 0.267 0.134 0.010 0.264 0.030
1.70 1.700 3790 0.264 0.116 0.008 0.264 0.032
1.71 1.710 3692 0.258 0.117 0.005 0.258 0.034
1.72 1.720 3672 0.249 0.099 -0.005 0.262 0.030
1.73 1.730 3682 0.251 0.096 -0.010 0.262 0.038
1.74 1.740 3712 0.247 0.094 -0.008 0.269 0.035
1.75 1.750 3700 0.246 0.086 -0.016 0.273 0.035
1.76 1.760 3630 0.245 0.088 -0.020 0.288 0.037
1.77 1.770 3650 0.254 0.089 -0.015 0.282 0.039
1.78 1.780 3630 0.253 0.066 -0.024 0.285 0.047
1.79 1.790 3583 0.255 0.072 -0.017 0.282 0.041
1.80 1.800 3647 0.267 0.054 -0.014 0.287 0.038
1.81 1.810 3444 0.261 0.058 -0.012 0.290 0.035
1.82 1.820 3498 0.268 0.047 -0.017 0.287 0.044
1.83 1.830 3359 0.272 0.045 -0.011 0.289 0.052
1.84 1.840 3554 0.260 0.035 -0.010 0.285 0.045
1.85 1.850 3357 0.268 0.031 -0.009 0.290 0.047
1.86 1.860 3182 0.267 0.032 -0.002 0.286 0.051
1.87 1.870 3238 0.275 0.028 -0.005 0.294 0.048
1.88 1.880 3240 0.262 0.018 -0.009 0.281 0.060
1.89 1.890 3267 0.259 0.029 -0.002 0.273 0.071
1.90 1.900 3286 0.252 0.027 -0.001 0.270 0.086
1.91 1.910 3381 0.241 0.034 -0.004 0.260 0.098
1.92 1.920 3319 0.240 0.035 0.005 0.241 0.103
1.93 1.930 3278 0.216 0.038 0.010 0.232 0.118
1.94 1.940 3190 0.215 0.042 0.010 0.223 0.144
1.95 1.950 3288 0.199 0.040 0.012 0.211 0.137
1.96 1.960 3182 0.195 0.046 0.018 0.201 0.165
1.97 1.970 3132 0.184 0.046 0.021 0.185 0.164
1.98 1.980 3076 0.185 0.053 0.026 0.187 0.183
1.99 1.990 3060 0.176 0.057 0.025 0.169 0.190
2.00 2.000 3120 0.170 0.064 0.027 0.161 0.201
2.01 2.010 3105 0.175 0.051 0.040 0.155 0.214
2.02 2.020 3033 0.174 0.059 0.041 0.154 0.214
2.03 2.030 2975 0.165 0.069 0.040 0.145 0.227
2.04 2.040 2963 0.164 0.091 0.042 0.140 0.226
2.05 2.050 2897 0.153 0.075 0.049 0.136 0.232
2.06 2.060 2903 0.159 0.091 0.044 0.130 0.230
2.07 2.070 2907 0.149 0.108 0.049 0.121 0.239
2.08 2.080 2994 0.150 0.126 0.054 0.122 0.247
2.09 2.090 3046 0.138 0.132 0.056 0.114 0.241
2.10 2.100 2937 0.140 0.138 0.052 0.113 0.247
2.11 2.110 2977 0.144 0.172 0.059 0.109 0.242
2.12 2.120 2927 0.141 0.190 0.055 0.108 0.254
2.13 2.130 3033 0.125 0.239 0.052 0.100 0.257
2.14 2.140 3003 0.119 0.252 0.048 0.093 0.257
