SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation
083839.16+285852.7,129.6631956177407,28.98131079145029,4454,55536,838,4.372,135244,0.07908138024072951,0.8170239343635385,2CXO J083839.1+285852,129.6631799363887,28.981293612582288,0.8366149643629911,0.8301764217286228,153.06633191695178,2.228571428571559,TRUE,false,false,false,2.2869453021898E-14,1.2314320857945E-14,3.3424585185851E-14,,,,2.2869453021898E-14,1.2314320857945E-14,3.3424585185851E-14,,,,0.07914178884176945
083853.85+194812.9,129.72439575195312,19.80360984802246,2275,53709,609,1.9562,135407,0.48602507432712866,0.19061821582091387,2CXO J083853.8+194813,129.72448275205159,19.80371720815868,0.9093875669773959,0.869260734529499,108.79322267535504,6.713360901092273,TRUE,false,false,false,3.7173345137003E-14,3.1411216883793E-14,4.2596524669436E-14,,,,3.7173345137003E-14,3.1411216883793E-14,4.2596524669436E-14,,,,0.48601883784680056
083906.52+575417.0,129.77720642089844,57.90473175048828,1784,54425,495,1.534,135565,0.2684420755804018,0.3553556747624247,2CXO J083906.5+575417,129.77733133380093,57.90476574511493,0.7110166375643108,0.7101125805259297,89.79727126985898,28.883877827461667,TRUE,false,false,true,7.7783273672899E-13,7.4861171562273E-13,8.051056897615E-13,,,,7.7783273672899E-13,7.4861171562273E-13,8.051056897615E-13,,,,0.26844948754178793
083926.95+512024.8,129.86229928118956,51.34024425708706,7311,57038,742,1.2522144,135778,0.5255021665887994,0.41456986133507867,2CXO J083927.0+512024,129.862508445186,51.34017918221758,1.5766988403412268,1.4477669153245507,171.7319305101004,4.263157894736727,TRUE,false,false,false,8.6279476692553E-14,6.5675422557018E-14,1.0688353082809E-13,,,,8.6279476692553E-14,6.5675422557018E-14,1.0688353082809E-13,,,,0.5254980258944857
083926.98+294213.7,129.8624267578125,29.703821182250977,1268,52933,614,0.7964,135779,0.14937750199267338,0.6434116499366264,2CXO J083926.9+294213,129.8624728028235,29.70383222171983,0.7898348310744533,0.7582553796454574,7.43676716645345,41.460426644173666,TRUE,false,false,false,8.7759797878848E-14,8.500214586047E-14,9.0517449897227E-14,,,,9.1022876101221E-14,8.8306938897946E-14,9.3579052292538E-14,,,,0.14936485518361253
083929.40+412017.7,129.87249986188405,41.338263083970055,8294,57365,22,1.3048494,135810,0.5274490590848636,0.7547725955266782,2CXO J083929.3+412018,129.8724365102413,41.33840165812144,4.13335517510001,3.243197740083251,99.81553390856982,3.6363636363637912,TRUE,false,false,false,2.0062069609073E-14,1.2211694544653E-14,2.7912444673493E-14,,,,2.0062069609073E-14,1.2211694544653E-14,2.7912444673493E-14,,,,0.5274375209025949
083932.61+511135.8,129.88591022613917,51.19329964106322,7302,57012,123,1.8402976999999998,135842,0.345501593332878,0.3701857780150367,2CXO J083932.6+511135,129.88604324830362,51.19325209771805,0.9438318826880862,0.8493623220843842,117.2225343333192,1.7837837837837744,TRUE,false,false,false,5.4416225846351E-15,2.1436695030381E-15,8.5746780121523E-15,,,,5.4416225846351E-15,2.1436695030381E-15,8.5746780121523E-15,,,,0.3454872260948836
083933.33+412117.9,129.88887495372566,41.354985565992244,8295,57401,478,1.9762335,135856,0.5962755145423209,0.7862354187928948,2CXO J083933.3+412117,129.88906372395616,41.35489980186707,5.381712569681839,3.2749582451309283,91.87031046666904,2.888888888888932,MARGINAL,false,false,false,2.1191240527395E-14,1.3562393937533E-14,2.8820087117257E-14,,,,2.1191240527395E-14,1.3562393937533E-14,2.8820087117257E-14,,,,0.5962697596426095
083939.55+563042.3,129.91481669217785,56.51177494255752,7374,56751,836,2.5839999999999996,135919,1.7295519868457587,0.08414989949325391,2CXO J083939.7+563042,129.9156874068592,56.51177376409316,2.4536936542012704,2.278115916684542,123.80805884272087,2.081632653061215,TRUE,true,false,false,0.0,0.0,8.9532158956773E-15,,,,0.0,0.0,8.9532158956773E-15,,,,1.7295547026504559
083942.36+512342.4,129.92654085551766,51.395129695596076,5157,55923,452,1.105,135954,1.6057768928285057,0.2501406072908898,2CXO J083942.4+512341,129.92686323766026,51.39473157744104,3.4187458481475854,2.477348126159811,170.17150444975033,6.2530401493520635,TRUE,false,false,false,1.5165404094978E-13,1.2332306626685E-13,1.799850156327E-13,,,,1.5165404094978E-13,1.2332306626685E-13,1.799850156327E-13,,,,1.6057749879896903
