,Unnamed: 0,SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation,F2500,Avg S2N
10,18,000225.52+255456.4,0.6063592830095104,25.915682831250802,7666,57339,970,1.6442900000000005,1550,0.8797436109241717,0.5916404709184155,2CXO J000225.5+255456,0.6065991537321338,25.91556807028252,4.014131828027162,2.1910570633762783,90.72703660317535,2.918918918918908,TRUE,False,False,False,2.0255644586636e-14,1.2994187093314e-14,2.7134920106625997e-14,,,,2.0255644586636e-14,1.2994187093314e-14,2.7134920106625997e-14,,,,0.8797394444473515,1.1501471996307373,6.5512686
11,20,000236.09+161312.6,0.6504057337251652,16.22018594213002,6172,56269,736,3.23,1645,0.8044107228868193,0.4485676266487034,2CXO J000236.1+161311,0.6504804277860217,16.219974316212245,2.598434387520708,1.5178165019236505,173.08978504495064,3.069767441860585,TRUE,False,False,False,3.1119872411630007e-15,7.027067963916402e-16,5.4208810007355004e-15,,,,3.1119872411630007e-15,7.027067963916402e-16,5.4208810007355004e-15,,,,0.8044161171059107,2.982039350625966,5.6205645
12,21,000244.88+005055.2,0.6870207300060827,0.8486847299527658,7862,56984,521,1.8431593999999998,1736,0.3402668354309634,0.4604472670875821,2CXO J000244.8+005055,0.6869833842895899,0.8487715594519433,1.12846291638891,0.8461083557483191,139.1893883225091,3.3142857142856914,TRUE,False,False,False,1.6178858781064e-14,1.1069745481780999e-14,2.1287972080347997e-14,,,,1.6178858781064e-14,1.1069745481780999e-14,2.1287972080347997e-14,,,,0.34026682112221635,0.3537233769893646,3.047216
13,22,000303.62+160419.8,0.7651041290109788,16.072171736646848,6172,56269,774,2.897,1925,0.11056365422534438,0.7420081728248342,2CXO J000303.6+160419,0.7651270511461803,16.072193114776386,0.8221032978561418,0.7321728772672639,92.3630459887408,7.034795533887242,TRUE,False,False,False,7.66433783977e-15,6.4365617533738014e-15,8.8921139261661e-15,,,,7.66433783977e-15,6.4365617533738014e-15,8.8921139261661e-15,,,,0.11050168262158422,0.9324544072151184,13.084543
14,30,000553.62-000703.0,1.473454611243028,-0.11750478900167614,7862,56984,312,2.02,3704,0.36250066775197387,0.2361304065304896,2CXO J000553.6-000702,1.4735196955506922,-0.11742794658751032,0.7491872392930494,0.7361425644926116,83.47729994925362,7.002078813392369,TRUE,False,False,False,2.5858834542924e-14,2.2003312378605e-14,2.971435670724299e-14,,,,2.5858834542924e-14,2.2003312378605e-14,2.971435670724299e-14,,,,0.3625238594202801,0.014725717715919018,1.2971851
15,34,000643.70-001200.3,1.6821243264931809,-0.2001063194927633,4217,55478,339,3.108,4197,1.0867677197421357,0.12886328817120107,2CXO J000643.7-001159,1.6822586112803606,-0.19983594990649006,1.7528928400059085,1.181345546724867,175.65718137940928,2.9142857142855645,TRUE,False,False,False,3.0442844942866004e-14,1.9483420763434e-14,4.0793412223441e-14,,,,3.0442844942866004e-14,1.9483420763434e-14,4.0793412223441e-14,,,,1.0867701655927668,-0.9842205047607422,3.2469316
16,36,000654.10-001533.3,1.7254499182721192,-0.2592746353653733,4217,55478,290,1.7209999999999999,4306,0.14501329673346414,0.6229558730391759,2CXO J000654.1-001533,1.7254607347945807,-0.25923582932346284,0.7219536746546314,0.7198438707988731,100.8978533307203,5.5768597731434655,TRUE,False,False,False,5.3703057717137015e-14,4.4031618910604006e-14,6.3374496523671e-14,,,,5.3703057717137015e-14,4.4031618910604006e-14,6.3374496523671e-14,,,,0.14502700204924374,20.237302780151367,58.86405
17,37,000654.88-001351.6,1.7286778489957104,-0.23100053382323074,4217,55478,294,2.572,4317,0.303040530417886,0.34288414426233804,2CXO J000654.9-001351,1.728753972960817,-0.2309645952575003,0.7821606845634415,0.7640391059069719,37.452087639873206,3.02857142857144,TRUE,False,False,False,1.2643056625964e-14,8.266613947745699e-15,1.6776363599837e-14,,,,1.2643056625964e-14,8.266613947745699e-15,1.6776363599837e-14,,,,0.30304953937062834,1.4537787437438965,17.318142
18,39,000659.29-001740.9,1.7470450401306152,-0.2946960031986237,686,52519,190,2.0364,4352,0.12787739476630774,0.7094045272975867,2CXO J000659.2-001740,1.7470513650839052,-0.2946610394295635,0.8399507000471995,0.7889552346778095,109.77107072077177,4.1111111111110965,TRUE,False,False,False,2.9169623624426e-14,2.1977113689636003e-14,3.636213355921601e-14,,,,2.9169623624426e-14,2.1977113689636003e-14,3.636213355921601e-14,,,,0.12791246941506235,2.626239538192749,7.750495
19,40,000701.61-001017.6,1.756712813348031,-0.17156852221021007,4217,55478,296,1.7109999999999999,4379,0.3876008987369389,0.6420798549550432,2CXO J000701.6-001017,1.7568198029945847,-0.1715564660777279,2.0412474619942462,1.236334859068989,35.11368034707465,3.4857142857142094,TRUE,False,False,False,3.1575883429444996e-14,2.2103118400612003e-14,4.0522383734455e-14,,,,3.1575883429444996e-14,2.2103118400612003e-14,4.0522383734455e-14,,,,0.3875986802129623,0.851960301399231,11.6195545
