,Unnamed: 0,SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation,F2500,Avg S2N
553,1468,143446.50+345854.2,218.69378157645843,34.981728361944626,10757,58223,63,1.7577332258224487,7938,0.059281163088407585,0.9271163856368572,2CXO J143446.5+345854,218.6937969439031,34.98173900309372,1.5863100073720622,1.4088698673139683,76.53497807246238,3.937500000000026,TRUE,False,False,False,2.2353003479853e-14,1.6019652493895e-14,2.8313804407814006e-14,,,,2.2353003479853e-14,1.6019652493895e-14,2.8313804407814006e-14,,,,0.05934755092062406,0.5701683163642883,3.1868036
554,1471,143457.40+350829.3,218.73918190435901,35.14149642965601,10757,58223,36,1.605870485305786,8046,0.6957852726988053,0.100311598608664,2CXO J143457.4+350830,218.73922775701976,35.14168603218724,1.0372664467779245,0.9163882568076744,167.53193206961618,5.062500000000176,TRUE,False,False,False,5.2849386675759e-14,4.0037414148302004e-14,6.5661359203216e-14,,,,3.599074800775e-14,2.87925984062e-14,4.2739013259202986e-14,,,,0.6957879856044534,3.920450210571289,15.67914
555,1473,143506.30+345602.9,218.77628503105743,34.934157196487696,10757,58223,28,1.5614725351333618,8111,0.20567773949261992,0.8178938434654247,2CXO J143506.3+345603,218.7762705929697,34.93421309515737,2.186479848048428,1.774734468354758,163.62832939828166,3.8749999999999916,TRUE,False,False,False,8.2007772822666e-15,5.125485801416601e-15,1.1129626311646998e-14,,,,8.2216239051795e-15,5.070001408194001e-15,1.1236219337078998e-14,,,,0.20569720378587705,1.4114718437194824,7.0297127
556,1474,143516.84+350143.2,218.82016843071133,35.028687032015775,10754,58224,426,1.6987504959106443,8215,0.3979076172691251,0.19082623431052936,2CXO J143516.8+350143,218.82028959003463,35.02863832103793,0.7448622842224618,0.7284993263585444,154.04547516332946,8.51145109314538,TRUE,False,False,False,1.6516865288213e-14,1.4570554208879e-14,1.8355047974250998e-14,,,,1.67950894258e-14,1.4940835207563998e-14,1.8494822459182997e-14,,,,0.3978937278611561,1.688977837562561,15.577287
557,1476,143520.44+395759.9,218.8351781823877,39.966643439500345,10749,58485,720,1.7109299898147583,8227,0.724818889494525,0.11415745902179784,2CXO J143520.3+395759,218.83493070268452,39.9665758985236,1.1239164054281559,0.9269200985947668,46.49531262097773,2.5405405405405332,TRUE,False,False,False,1.3167392776135e-14,7.844404207059e-15,1.8210224052101e-14,,,,1.3167392776135e-14,7.844404207059e-15,1.8210224052101e-14,,,,0.7248229467309462,1.560670256614685,14.052305
558,1480,143524.48+395633.0,218.8520015911925,39.94252472151783,10749,58485,717,1.6410119533538818,8281,0.6824674127018557,0.4704987320604985,2CXO J143524.4+395632,218.8519308470036,39.94234307163878,2.3148977297292004,1.6567598900959484,24.730565523877743,2.6315789473684403,TRUE,False,False,False,1.3958007874091998e-14,8.4329630905974e-15,1.9483052657587e-14,,,,1.3958007874091998e-14,8.4329630905974e-15,1.9483052657587e-14,,,,0.6824685867509372,1.3640110492706299,12.573531
559,1482,143532.25+400425.8,218.884409658876,40.07385487831231,10749,58485,716,1.7813529968261719,8354,0.4864233719933863,0.2360919725511187,2CXO J143532.2+400426,218.8842579408207,40.07392400306728,1.0052183517100364,0.8179733410943278,132.20461283984156,6.283519575447067,TRUE,False,False,False,6.367739490347402e-14,5.3501988004502005e-14,7.3852801802446e-14,,,,6.367739490347402e-14,5.3501988004502005e-14,7.3852801802446e-14,,,,0.4864228068054946,2.233783721923828,16.631836
560,1483,143536.95+350924.0,218.90398524591893,35.15667582907427,10754,58224,392,1.6792948246002195,8408,0.21541424791030292,0.5714104970670054,2CXO J143536.9+350924,218.90405843123932,35.156675915798324,0.931647202497668,0.8638589707785912,3.0676786389169886,10.863471583253558,TRUE,False,False,False,3.239920000547901e-14,2.1085193654359e-14,4.3713206356599e-14,,,,4.277631282521e-14,3.889690457818e-14,4.642752058711901e-14,,,,0.21540584218738434,0.3319980800151825,3.987963
561,1484,143537.90+342751.4,218.9079171567853,34.464295415775645,10754,58224,406,2.1496427059173584,8422,0.31222239596611645,0.34827542431366554,2CXO J143537.9+342751,218.90797603901672,34.464223543565005,0.8149128561605279,0.8071669915085509,2.039112688818392,2.7222222222221144,TRUE,False,False,False,1.4550427786321e-14,9.205372681142e-15,1.98954828915e-14,,,,1.4550427786321e-14,9.205372681142e-15,1.98954828915e-14,,,,0.31223528056236904,0.5287838578224182,8.414324
562,1487,143551.47+341317.8,218.9644668228717,34.22163641430352,10754,58224,403,1.7229152917861938,8557,1.968325930801088,0.026272188443545952,2CXO J143551.4+341316,218.96424708944585,34.2211207289602,2.172353347252032,1.9966719632865784,21.022403039883386,6.011973249340093,TRUE,False,False,False,2.9137939938107994e-14,2.2894095665656e-14,3.5381784210559e-14,,,,2.7959237373995e-14,2.2902779551039e-14,3.2718256501483986e-14,,,,1.9683246424284482,0.9366777539253235,9.737433
563,1488,143551.53+345437.5,218.96472555892052,34.91042708242283,10754,58224,420,2.180071353912353,8558,0.2887207489524278,0.464986960857961,2CXO J143551.5+345437,218.96479774161187,34.910372964221004,0.967277307997462,0.9177788988139128,101.79761572678585,2.9142857142858545,TRUE,False,False,False,1.1672348574856001e-14,5.5708936379997e-15,1.7508522862285e-14,,,,1.9305810657355e-14,1.4157594482061e-14,2.4132263321694e-14,,,,0.2887330904295015,0.28626906871795654,5.7491837
564,1489,143605.99+350735.4,219.02496571292647,35.12651704009309,10754,58224,390,1.8197308778762813,8702,0.5054716093720686,0.2626915253130534,2CXO J143606.0+350735,219.02513709010572,35.126508757946056,1.1049194387671502,0.9055774939148988,95.32532474247469,4.722222222222179,TRUE,False,False,False,6.9509126887655e-15,4.9649376348325006e-15,8.936887742698499e-15,,,,7.7012541039115e-15,5.857291853679201e-15,9.545216354143901e-15,,,,0.505479781677468,2.104102373123169,19.980137
565,1490,143612.43+345233.6,219.05182328041408,34.8760088532376,10754,58224,419,1.619955062866211,8777,1.28062317600358,0.09305391181348877,2CXO J143612.4+345234,219.05191561951582,34.876356422200324,1.8681411198918696,1.5904494835820615,64.1788216741443,3.1111111111110814,TRUE,False,False,False,4.2203098198217e-14,2.6025243888900003e-14,5.838095250753299e-14,,,,2.6338097641127e-14,1.8978923300223998e-14,3.3697271982031e-14,,,,1.2806230711095064,0.5698116421699524,4.6301107
566,1491,143612.65+344200.0,219.05273650144073,34.70002764159787,10754,58224,413,1.5796071290969849,8780,0.09117726946060707,0.7950725940354952,2CXO J143612.6+344200,219.05272050431176,34.70000601758709,0.8592756784941967,0.7931707834694959,103.6330029005619,3.20000000000002,TRUE,False,False,False,1.5456778457002e-14,1.0398196416529e-14,2.0234328161894e-14,,,,1.5704022534046e-14,1.0850051932614e-14,2.0557993135479e-14,,,,0.09111424410589727,1.162306785583496,12.289726
567,1495,143629.82+344346.6,219.12429040156883,34.729621178086035,10754,58224,376,1.6115814447402954,8965,0.22125543630796696,0.6053069122234636,2CXO J143629.8+344346,219.12435534948762,34.72959071316196,1.0479897682423105,0.9928307961210288,146.90110485913428,2.7222222222222645,TRUE,False,False,False,1.0950161179495e-14,6.927652991109299e-15,1.4972669367881e-14,,,,1.0950161179495e-14,6.927652991109299e-15,1.4972669367881e-14,,,,0.22125395784633275,3.3006510734558105,21.020264
568,1497,143638.98+342243.8,219.1624511326136,34.37883736872205,10754,58224,368,1.8009523153305054,9038,1.325702504988718,0.07439607379180513,2CXO J143638.9+342245,219.16231770080933,34.379188767348516,1.8207774043396363,1.41785317958163,177.0067555013546,3.9374999999998495,TRUE,False,False,False,7.751568892797001e-15,3.1425279295123e-15,1.2360609856082e-14,,,,2.1210733423846e-14,1.5201025620423e-14,2.6866929003538995e-14,,,,1.3257010995014804,0.2343638688325882,3.8551786
569,1508,143735.30+354200.0,219.39711519854725,35.700009741525456,10754,58224,693,1.9549068212509155,9535,0.5158406259690995,0.4685708545597296,2CXO J143735.3+354159,219.39721509633333,35.69989163007705,1.7421323422774635,1.742135053586458,0.0,2.399999999999979,TRUE,False,False,False,1.0695811458125999e-14,6.2609628047566e-15,1.5130660111495005e-14,,,,1.0695811458125999e-14,6.2609628047566e-15,1.5130660111495005e-14,,,,0.5158392278944902,1.3877249956130981,18.518517
570,1513,143750.54+351126.1,219.46059111947463,35.19059810291461,10754,58224,306,2.840254068374634,9661,0.8602085694209871,0.7671555455255228,2CXO J143750.4+351126,219.46034867449703,35.19073166388529,7.111087226920858,4.307835643146272,8.328975360246602,2.742857142856997,TRUE,False,False,False,1.2075107374231001e-14,6.7395948135243e-15,1.7129803484374e-14,,,,1.2075107374231001e-14,6.7395948135243e-15,1.7129803484374e-14,,,,0.8602131032012528,0.9784793853759766,13.413528
