SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation
083424.82+554029.5,128.60344294332106,55.67488069052507,7374,56751,355,2.369,132132,1.9487038727707526,0.08093355101960376,2CXO J083424.6+554031,128.6028862999915,55.6753217011435,2.735864056255924,1.8209486135634807,169.8435301173252,3.542857142856957,TRUE,true,false,false,4.3636845987322E-15,2.981851142467E-15,5.7455180549973E-15,,,,4.3636845987322E-15,2.981851142467E-15,5.7455180549973E-15,,,,1.9487036070736612
083435.83+553740.6,128.6492918601044,55.62794801193679,7374,56751,356,1.589,132262,0.09070982381486173,0.7616100196280403,2CXO J083435.8+553740,128.64924796837,55.62794349804688,0.7319018727490516,0.7184119769054462,170.61015537750237,18.117329760688435,TRUE,false,false,false,4.3433119931962E-14,4.1118036978414E-14,4.5748202885511E-14,,,,4.3433119931962E-14,4.1118036978414E-14,4.5748202885511E-14,,,,0.09067495043412166
083445.29+553626.9,128.68871035161868,55.60749373261361,7374,56751,354,1.207,132377,0.1150851406259223,0.6933855391005168,2CXO J083445.3+553626,128.68876637379685,55.607498155814625,0.714495832595575,0.7119593544005872,178.28196726026366,12.751654177354128,TRUE,false,false,false,1.3392695457362E-14,1.2301361857976E-14,1.4415820706786E-14,,,,1.3852834720728E-14,1.2758144530997E-14,1.4883131369886E-14,,,,0.1150281737200537
083602.57+534128.6,129.01071487972234,53.69129737177718,7302,57012,786,1.4943845,133299,1.05315038753408,0.5430414421271514,2CXO J083602.4+534128,129.0102257906252,53.69125604381637,4.238447365726421,2.906414338939158,10.63395288175056,3.812499999999953,TRUE,false,false,false,1.041087117563E-14,4.8422656630836E-15,1.5979476688176E-14,,,,1.041087117563E-14,4.8422656630836E-15,1.5979476688176E-14,,,,1.0531481792289774
083619.74+534037.6,129.08226373456785,53.677116799647806,7277,56748,107,1.49,133503,1.0953267313665707,0.060466857643140526,2CXO J083619.6+534037,129.08175338695253,53.67715127687676,1.429924823497084,1.4299215201987963,0.0,5.411764705882091,TRUE,false,false,false,2.2624767606587E-14,1.7889351130789E-14,2.7360184082384E-14,,,,2.2624767606587E-14,1.7889351130789E-14,2.7360184082384E-14,,,,1.095322911458262
083632.71+552846.0,129.13633270912015,55.47946971472866,7374,56751,273,0.98,133681,0.1927066793288451,0.5415551129204378,2CXO J083632.7+552846,129.13640714843757,55.47950266768313,0.7727068786753851,0.7363029596545201,129.08574426730743,5.333333333333609,TRUE,false,false,false,1.535812837326E-13,1.2027449930866E-13,1.8688806815653E-13,,,,6.4521729507576E-14,5.4914645161598E-14,7.3563691244966E-14,,,,0.19270794392727086
083633.54+553245.0,129.13978576660156,55.54584884643555,1783,53386,109,1.6137,133687,0.2256731608578511,0.5192897976907591,2CXO J083633.5+553245,129.13982933112862,55.54590648204635,0.8571897729650274,0.7651634438481514,25.231918739497274,4.77777777777802,TRUE,false,false,false,4.9572662721719E-14,3.4523818681197E-14,6.462150676224E-14,,,,5.576371933683E-14,4.7852269500912E-14,6.3675169172748E-14,,,,0.225663203129113
083654.34+530529.5,129.2264280572254,53.09155419144595,7293,56741,560,0.9990000000000001,133934,0.7170878958975662,0.6738376079074366,2CXO J083654.4+530529,129.2267334476968,53.09163191546036,4.1703829666790915,3.2975388864168687,144.5185362998479,4.324324324324133,TRUE,false,false,false,5.3464788433582E-14,3.7519149777952E-14,6.9410427089212E-14,,,,5.3464788433582E-14,3.7519149777952E-14,6.9410427089212E-14,,,,0.7170781872858351
083655.46+531153.0,129.2311171993637,53.198076438451736,5156,55925,165,2.224,133946,0.5301555699651413,0.4522118302457335,2CXO J083655.4+531152,129.23120647953363,53.19793922705954,1.726357004023089,1.0472864144816865,158.1290911549033,3.2777777777778163,TRUE,false,false,false,5.1291322778116E-15,2.2663607739168E-15,7.8726216357109E-15,,,,5.1291322778116E-15,2.2663607739168E-15,7.8726216357109E-15,,,,0.5301596411809317
083658.78+530950.0,129.24494934082028,53.16390228271485,444,51883,546,0.544,134001,0.17419392871729963,0.6636799063439367,2CXO J083658.7+530950,129.2448748920117,53.16392095849369,0.9805613288281341,0.899511873627051,166.61639998675506,11.78467753222311,TRUE,false,false,false,1.6608066256714E-13,1.5133576287022E-13,1.7995821522305E-13,,,,1.6608066256714E-13,1.5133576287022E-13,1.7995821522305E-13,,,,0.17418162068847712
083702.73+004551.6,129.26138813068434,0.764337378120131,4793,55648,618,2.195,134053,0.2765372708413247,0.9014093050124482,2CXO J083702.7+004551,129.26146462009604,0.7643302321217479,5.4640496526099005,3.752353014923166,5.840891344796148,2.473684210526344,MARGINAL,false,false,false,2.6729417032783E-14,1.4297130040791E-14,3.8540089675175E-14,,,,2.6729417032783E-14,1.4297130040791E-14,3.8540089675175E-14,,,,0.27653657900571815
